SECTION,LOCATION,DAYS,START_TIME,END_TIME,DURATION,ENROLLMENT,STUDENT_ID,OCCUPANCY,OCCUPANCY_RATIO,MASK,D0,YEAR,STUDENT_INFECTION_PROB,TEACHER_INFECTION_PROB,INFECTION_PROB_SESSION
11,QDJ389,WFM,08:55:00,11:53:00,02:58:00,21,"560,625,652,867,993,1038,1527,1551,1816,1879,2043,2256,2466,3040,3086,3127,3131,3443,4698,4898,4978",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0007370141294184351
12,LEZ228,HW,11:33:00,12:48:00,01:15:00,17,"371,585,1130,1182,1680,2025,2397,2484,2616,2676,2881,3127,3311,3461,3672,4639,4945",9.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0019064308264941027
13,LTG028,TF,11:23:00,13:45:00,02:22:00,14,"878,959,1242,1272,1305,1711,3119,3901,3958,4004,4217,4321,4497,4733",7.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0002755283526648013
14,LEZ228,HFM,19:50:00,22:31:00,02:41:00,20,"1145,1321,1563,1798,2081,2166,2350,2504,2769,2806,2902,3436,3443,3466,3510,3680,4220,4234,4535,4702",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.004135607037116436
15,QDJ389,TM,14:08:00,18:04:00,03:56:00,20,"284,420,719,1236,1273,1340,1395,1766,1807,2146,2332,2472,2551,2594,2595,3054,3061,3376,3509,3535",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0009312121811077772
16,ICH942,T,17:20:00,18:34:00,01:14:00,20,"140,178,418,957,1055,1347,1703,1826,1896,2334,3146,3437,3703,4203,4283,4440,4454,4518,4614,4952",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00019441495617069125
17,FRF846,FW,20:21:00,21:55:00,01:34:00,19,"340,590,812,828,1100,1133,1260,1900,2117,2335,2573,2591,2605,2916,3211,3677,4075,4111,4236",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0002683623062440649
18,LEZ228,W,07:20:00,08:57:00,01:37:00,15,"524,758,1191,1389,1726,1975,2044,2274,2714,2768,2878,2995,3501,3801,4652",8.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0023220469482913074
19,FRF846,T,16:51:00,20:19:00,03:28:00,21,"182,234,296,362,514,634,1029,1050,1656,2103,3224,3258,3327,3373,3738,3808,4065,4072,4691,4821,4874",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0006174262351878499
20,UGS416,HW,20:06:00,22:09:00,02:03:00,22,"157,283,1185,1350,1537,1790,1837,2137,2511,2812,3143,3220,3228,3415,3472,3485,3689,3879,4178,4458,4525,4557",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0001324276303670669
21,TVN387,H,12:43:00,14:26:00,01:43:00,16,"166,204,253,447,471,666,848,1032,2234,3221,3528,3641,4009,4154,4162,4388",8.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0001512331920226406
22,ICH942,WMH,12:45:00,15:57:00,03:12:00,20,"43,169,238,325,483,643,1335,1561,1687,1819,2244,2896,2928,3493,3732,3948,4283,4294,4478,4829",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0005018639081213138
23,ICH942,HF,10:09:00,12:00:00,01:51:00,21,"220,329,377,386,484,559,590,790,2074,2123,2130,3017,3053,3191,3395,4470,4526,4630,4743,4878,4917",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0003042997144378567
24,YAN039,HWM,18:01:00,19:48:00,01:47:00,16,"351,384,636,702,730,1286,1450,1963,2683,2721,2765,3075,3140,3383,3457,4289",8.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00010386382916963218
25,LTG028,MHF,19:20:00,20:55:00,01:35:00,24,"46,497,560,943,995,1392,1478,1794,1855,2203,2777,2844,2888,2950,2999,3222,3265,3309,3416,3454,3500,3605,4538,4622",12.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00023285634549504634
26,SYH090,FH,10:06:00,13:19:00,03:13:00,22,"73,378,594,1238,1256,1299,1514,1566,1856,2022,2439,2622,3177,3647,3750,3961,4077,4096,4099,4479,4852,4995",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00017708466606643572
27,QDJ389,T,18:55:00,20:51:00,01:56:00,23,"78,192,360,831,946,1054,1262,1525,1726,1756,2286,2638,2640,2723,2789,2917,3185,3450,4157,4509,4789,4831,4878",12.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0005030561388018902
28,YAN039,WH,15:29:00,16:58:00,01:29:00,13,"79,213,579,1078,1284,1532,2084,2776,2815,2865,3705,3894,4691",7.0,0.5,0.5,1000,Fall_2020,0.01,0.01,8.214460619242195e-05
29,FRF846,TF,08:03:00,11:00:00,02:57:00,19,"14,31,638,862,1118,1397,1533,1887,2193,2289,2386,2554,2891,3139,3415,3863,4187,4405,4652",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.000503354979012731
30,YAN039,T,07:20:00,09:35:00,02:15:00,22,"829,843,994,1209,1377,1748,2008,2184,2374,2391,2630,2749,3307,3449,3610,3873,4180,4342,4389,4400,4487,4775",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00015043005863729712
31,LEZ228,M,06:46:00,09:13:00,02:27:00,23,"651,676,1591,1607,1869,1961,2342,2360,2441,2468,2677,2888,3033,3411,3472,3585,3945,4042,4158,4483,4651,4662,4977",12.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0041578924658394025
32,QDJ389,HF,18:46:00,20:05:00,01:19:00,23,"278,835,1001,1010,1138,1812,2031,2238,2344,2446,2534,2620,2836,3301,3387,3401,3470,3612,4175,4177,4380,4946,4984",12.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0003433759536552169
33,QDJ389,HT,19:55:00,21:30:00,01:35:00,17,"54,294,783,845,1104,1281,1654,2115,2577,2999,3453,3512,3785,4237,4500,4833,4940",9.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.000361220199726015
34,YAN039,TMF,17:03:00,18:40:00,01:37:00,23,"240,263,501,506,728,996,1080,1114,1791,1949,2016,2148,2437,2530,2562,2669,2833,2838,2919,3277,3302,3411,3595",12.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00011281706601854522
35,LTG028,TH,08:02:00,10:32:00,02:30:00,17,"510,664,1150,1509,1522,1824,2018,2057,2160,2578,2644,2710,3457,3508,3655,3987,4984",9.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00032136097961926735
36,QDJ389,TH,14:49:00,16:14:00,01:25:00,21,"0,266,476,696,803,851,1109,2110,2133,2205,2452,2502,2582,2758,2907,2945,3266,3748,3856,3867,4258",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00035401883096216496
37,LTG028,T,15:30:00,18:07:00,02:37:00,17,"313,622,743,847,863,917,1047,1462,1685,1839,1967,2514,3119,3299,3869,4039,4667",9.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0003362674665026581
38,YAN039,FTW,11:01:00,12:22:00,01:21:00,22,"351,809,1012,1079,1571,1597,1871,2014,2207,2540,2909,3059,3097,3186,3370,3650,3662,3963,4070,4779,4795,4863",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,9.034083272561998e-05
39,VGP845,H,07:59:00,10:09:00,02:10:00,16,"431,439,491,1051,1053,1176,1255,2036,2212,2862,2899,3173,4713,4765,4900,4951",8.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00014570113314140592
40,LEZ228,WH,13:32:00,14:56:00,01:24:00,17,"5,274,649,790,998,1096,1445,1528,2034,2156,2759,2875,2883,3185,3316,3700,4189",9.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.002126505897784412
41,YAN039,MF,07:16:00,09:41:00,02:25:00,28,"183,244,321,490,706,775,910,931,1270,1275,1549,1633,1645,1725,1934,2005,2249,2349,2613,2926,3154,3269,3617,3675,4284,4328,4654,4668",14.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00018244225248708633
42,ICH942,FT,13:13:00,14:14:00,01:01:00,15,"450,515,1049,1125,1428,1891,2125,2470,3433,4054,4547,4696,4770,4937,4981",8.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00014589858283251884
43,VGP845,M,07:41:00,08:42:00,01:01:00,17,"200,338,694,1139,1170,1329,1942,2129,2364,2467,2647,2924,3175,3442,3741,4065,4986",9.0,0.5,0.5,1000,Fall_2020,0.01,0.01,7.18582115971567e-05
44,ICH942,MTW,14:30:00,17:12:00,02:42:00,14,"472,868,930,1043,1378,1873,2363,2486,3076,3179,3611,4059,4673,4819",7.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0003664697224289588
45,LEZ228,HMF,18:54:00,22:42:00,03:48:00,22,"224,469,808,857,2264,2586,2656,2793,3261,3490,3628,3868,3981,4229,4246,4343,4401,4414,4472,4640,4642,4745",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.005974333440176913
46,QDJ389,MWF,16:57:00,19:19:00,02:22:00,26,"184,530,534,870,1234,1553,1582,1915,2583,2845,3018,3114,3224,3385,3621,3668,3717,3830,3983,4172,4638,4755,4820,4849,4857,4900",13.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0006403733115855144
47,LTG028,FW,12:28:00,15:37:00,03:09:00,14,"444,672,1039,1169,1395,2084,2398,2801,3160,3347,3824,4127,4958,4981",7.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00036600738406253786
48,LTG028,FHM,17:40:00,21:35:00,03:55:00,10,"939,1076,1150,1248,1403,2463,2819,4445,4460,4462",5.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00040660801734178787
49,FRF846,HTM,09:23:00,12:33:00,03:10:00,27,"536,706,713,716,788,876,997,1217,1237,1492,1653,1783,1791,1915,2681,3312,3548,3600,3719,3795,4075,4410,4432,4568,4593,4597,4780",14.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0006378249307327825
50,UGS416,FHT,14:11:00,17:50:00,03:39:00,24,"178,438,841,1109,1252,1417,1535,1598,1660,1723,1747,2159,2162,2670,2718,3060,3227,3692,3796,3958,3966,4194,4605,4994",12.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00024557505798007267
51,LEZ228,HF,12:37:00,13:52:00,01:15:00,15,"103,227,797,1017,1264,2103,2122,2242,2261,2294,2462,3193,4166,4235,4428",8.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.001814088823568127
52,SYH090,F,18:11:00,19:15:00,01:04:00,22,"39,542,709,912,983,1145,1278,1347,1826,2249,2301,2397,2432,2545,2621,2820,2914,3898,4722,4798,4832,4842",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,5.88284339991917e-05
53,LEZ228,HW,16:10:00,17:48:00,01:38:00,21,"204,421,461,486,825,1467,2233,2279,2716,3109,3657,3885,4144,4241,4279,4292,4337,4377,4467,4567,4633",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0027061178085776546
54,LEZ228,M,09:55:00,13:25:00,03:30:00,24,"250,391,434,686,1183,1529,1605,1612,1959,2037,2112,2608,2727,3226,3368,3471,3514,3621,3643,3918,4189,4306,4603,4750",12.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.005797047924904853
55,SYH090,H,21:23:00,22:26:00,01:03:00,14,"512,1359,1546,1704,2283,2449,2559,2759,2937,3287,3800,4028,4092,4774",7.0,0.5,0.5,1000,Fall_2020,0.01,0.01,4.793453805631598e-05
56,LEZ228,MWH,09:14:00,10:40:00,01:26:00,17,"6,210,254,284,671,896,1181,1905,2324,2372,3075,3664,3712,4241,4367,4492,4501",9.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0021751687152913577
57,UGS416,FT,10:07:00,13:52:00,03:45:00,17,"331,383,956,1288,1326,1747,1777,2072,2161,3050,3074,4489,4546,4589,4653,4747,4794",9.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00022096496500627905
58,SYH090,H,14:29:00,17:07:00,02:38:00,20,"144,323,567,591,666,764,1237,1302,1352,2181,2554,2641,3200,3760,3960,4104,4313,4330,4476,4922",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0001387890367356023
59,LEZ228,FW,06:38:00,10:36:00,03:58:00,28,"16,197,302,811,897,1070,1144,1169,1238,1315,1761,1930,2126,2215,2261,2471,2830,2958,3237,3313,3387,3844,3989,4021,4291,4403,4633,4695",14.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.007078376118095834
60,TVN387,M,14:13:00,17:17:00,03:04:00,19,"33,250,503,680,838,1298,1555,1867,2076,2100,2104,2176,2440,2970,2998,3087,3906,4542,4781",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00029629043427491355
61,UGS416,HW,13:17:00,14:55:00,01:38:00,27,"39,51,397,473,493,506,771,1143,1511,1625,1734,1906,1958,1985,2022,2385,2499,2662,2719,3521,3639,3710,4181,4309,4353,4594,4969",14.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0001191994759337922
62,QDJ389,HMF,13:50:00,15:50:00,02:00:00,21,"243,263,468,1618,1922,2198,2265,2870,2960,3581,3627,3694,3783,3941,3974,4158,4293,4468,4687,4795,4966",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00049868499672005
63,VGP845,WMH,14:21:00,16:51:00,02:30:00,18,"311,408,459,597,763,773,1267,2328,2369,2611,2646,2691,2969,3353,4578,4643,4748,4801",9.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00017636914061139628
64,LEZ228,F,07:48:00,10:17:00,02:29:00,20,"67,521,740,1134,1837,2056,2065,2190,2514,2905,3142,3379,3931,4225,4369,4391,4533,4588,4830,4888",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0038467011903234897
65,VGP845,HWM,08:04:00,09:21:00,01:17:00,23,"221,235,288,719,981,1050,1061,1662,1694,1746,1972,1997,2045,2288,2707,2721,3093,3129,3165,3210,4001,4110,4398",12.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00010350145549107266
66,YAN039,MH,18:41:00,19:48:00,01:07:00,22,"167,454,812,876,1067,1085,1622,1689,1809,1862,2585,2637,2790,2849,3253,3316,3699,3711,4192,4461,4848,4853",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,7.474414600367084e-05
67,UGS416,TF,12:42:00,16:28:00,03:46:00,21,"284,542,873,970,1476,1763,1827,1902,1946,2341,2464,2560,3204,3596,3735,3824,3943,3983,4134,4552,4869",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0002429120909922901
68,TVN387,THW,06:31:00,10:07:00,03:36:00,27,"58,71,162,187,291,405,596,815,899,913,1767,1855,2142,2145,2313,2359,2418,2436,2516,2540,3016,3503,4276,4419,4584,4792,4879",14.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00041032353277665405
69,VGP845,F,09:19:00,12:45:00,03:26:00,29,"139,553,798,991,1044,1148,1174,1431,1435,1669,1670,2185,2266,2368,2438,2783,2812,2927,2983,3136,3260,3676,3939,4364,4451,4571,4934,4937,4994",15.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00031051799605709266
70,LEZ228,MT,10:35:00,12:59:00,02:24:00,19,"211,811,845,2201,2286,2455,2507,2754,2762,2800,3157,3256,3352,3448,3463,3538,3972,4954,4994",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0037254663665120718
71,QDJ389,HM,09:57:00,11:43:00,01:46:00,20,"17,285,800,1263,1267,1557,1670,1689,1762,2252,2294,2503,2551,2607,3120,4001,4129,4150,4233,4474",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0004218198268916441
72,VGP845,FTH,10:09:00,12:24:00,02:15:00,20,"677,715,787,1354,1570,1860,2089,2221,2380,2567,2684,2864,2995,3511,3655,3744,3856,4370,4376,4596",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0001662763340722355
73,YAN039,M,19:08:00,21:04:00,01:56:00,23,"102,443,787,809,1624,1751,1855,1957,1970,1982,2041,2202,2278,2377,2531,2639,3052,3177,3190,3246,3833,4540,4714",12.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0001348731590238363
74,UGS416,MTH,19:16:00,20:22:00,01:06:00,26,"145,684,1048,1089,1184,1297,1299,1541,2003,2152,2318,2853,2978,3108,3286,3291,3334,3416,3527,3574,4035,4267,4656,4763,4765,4923",13.0,0.5,0.5,1000,Fall_2020,0.01,0.01,7.725211640924434e-05
75,SYH090,F,16:00:00,18:13:00,02:13:00,30,"80,248,293,354,986,1007,1119,1780,2076,2184,2252,2361,2420,2731,3037,3348,3478,3533,3615,3617,3777,4099,4168,4194,4436,4520,4615,4631,4772,4852",15.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00014318969025976523
76,LEZ228,F,08:00:00,10:39:00,02:39:00,23,"207,281,406,415,457,513,539,1013,1116,1250,1375,1620,2110,2390,2494,2842,3248,3309,3517,3747,3923,4309,4912",12.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00447623379661196
77,FRF846,T,10:44:00,13:17:00,02:33:00,29,"17,268,602,645,1072,1754,2129,2164,2287,2681,2721,2764,2796,2821,2897,2910,3077,3353,3616,3711,3746,3819,4373,4523,4703,4771,4807,4815,4931",15.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0005340996849073313
78,TVN387,H,06:08:00,09:20:00,03:12:00,21,"75,665,1567,1633,1867,2109,2613,2976,2982,2986,3153,3245,3665,3700,3709,3753,4306,4538,4641,4657,4738",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0003230645168795014
79,ICH942,TH,07:25:00,09:09:00,01:44:00,13,"234,873,1463,1550,1982,2096,2126,2251,3002,3793,4139,4234,4752",7.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00023592940955636908
80,YAN039,THF,20:56:00,22:47:00,01:51:00,18,"775,1132,1232,1497,1590,2021,3274,3279,3322,3411,3426,3667,3967,4005,4167,4182,4493,4565",9.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00011307140993830656
81,UGS416,FTH,10:58:00,13:59:00,03:01:00,20,"21,322,376,540,611,817,1316,1540,1558,1713,1885,1918,2159,2486,2787,2817,3042,3184,3541,3684",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00018628994271297695
82,VGP845,HT,09:58:00,12:20:00,02:22:00,23,"15,52,538,562,873,994,1092,1336,1513,1824,1940,2178,2407,2611,2710,2879,3087,3450,3460,4212,4221,4867,4976",12.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00019063758360043952
83,QDJ389,F,19:57:00,21:16:00,01:19:00,25,"233,304,502,1157,1390,1400,1609,1985,2014,2107,2145,2345,2617,2739,2856,3864,3869,3875,3919,4393,4468,4508,4692,4828,4894",13.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0003575972307078058
84,QDJ389,W,12:32:00,14:31:00,01:59:00,16,"7,125,433,563,1019,1714,2069,2325,2436,2523,2921,3057,3300,3530,3593,4379",8.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00043032490366925894
85,YAN039,TMH,20:33:00,21:33:00,01:00:00,23,"140,460,752,758,857,1004,1386,2003,2508,2517,2602,2747,3147,3588,3913,4051,4118,4267,4624,4836,4868,4880,4905",12.0,0.5,0.5,1000,Fall_2020,0.01,0.01,6.982619665585598e-05
86,YAN039,MW,16:48:00,20:21:00,03:33:00,12,"842,1023,1226,1963,2090,2262,2946,4139,4180,4391,4429,4782",6.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00018588102595402245
87,YAN039,WM,12:09:00,16:08:00,03:59:00,23,"43,185,548,810,894,1693,1753,2100,2405,2617,2729,2742,2785,2933,2947,3239,3350,3620,3633,3683,4057,4905,4932",12.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0002773252127120655
88,YAN039,THF,11:30:00,12:42:00,01:12:00,13,"224,794,1101,1332,1465,1718,1752,3391,3444,3445,4416,4422,4510",7.0,0.5,0.5,1000,Fall_2020,0.01,0.01,6.647645759200887e-05
89,QDJ389,WMT,14:14:00,17:55:00,03:41:00,18,"1052,1306,1337,1788,1976,2112,2301,2356,2474,2944,3024,3032,3065,3648,3720,4351,4682,4800",9.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0008331621387132449
90,QDJ389,T,07:40:00,11:18:00,03:38:00,16,"79,505,1542,1728,1897,2145,2777,2854,2894,3091,3459,3596,3607,4649,4664,4734",8.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0007828415409999379
91,LEZ228,TM,19:08:00,20:43:00,01:35:00,22,"27,38,120,273,839,849,947,993,1782,2009,2354,2608,2672,2793,2797,3041,3217,3358,3845,3987,4086,4491",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.002626564103395875
92,LEZ228,F,10:53:00,14:30:00,03:37:00,22,"76,252,616,733,952,963,1598,1666,1789,1916,2012,2023,2253,2270,2953,3284,3581,3677,3799,4247,4653,4683",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.005710596442864362
93,YAN039,TF,18:08:00,19:59:00,01:51:00,16,"693,1216,1343,1636,1651,1965,2276,2691,2787,2885,3228,4111,4179,4266,4792,4980",8.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00010773840361178396
94,YAN039,MWF,09:18:00,10:31:00,01:13:00,26,"231,478,606,703,817,1039,1220,1650,1779,1831,1987,2284,2440,2680,3078,3104,3320,3383,3435,3489,3938,4305,4349,4717,4746,4878",13.0,0.5,0.5,1000,Fall_2020,0.01,0.01,8.844474657281728e-05
95,TVN387,MFW,08:59:00,11:07:00,02:08:00,21,"1,47,137,172,178,262,297,592,917,1314,1370,1528,2254,2258,2423,2573,2823,3471,3758,4138,4219",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00021573004807266133
96,LEZ228,WT,15:45:00,19:39:00,03:54:00,17,"453,526,1481,1548,2208,2410,2415,2631,3031,3060,3105,4044,4606,4615,4619,4844,4977",9.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.005548887410203652
97,QDJ389,MT,13:41:00,15:11:00,01:30:00,26,"219,418,436,1041,1076,1615,1648,1669,1874,1998,2017,2069,2290,2457,2666,2752,3192,3371,3588,3714,3792,4153,4408,4433,4780,4821",13.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0004071231109387245
98,LEZ228,H,09:04:00,12:31:00,03:27:00,14,"300,494,1086,1243,1247,1519,2084,2385,2445,2637,3145,3214,3489,4077",7.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.004460773420584244
99,QDJ389,TW,10:49:00,14:19:00,03:30:00,10,"625,1183,1238,1305,1314,1447,1478,1943,2461,4264",5.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0006412992143780826
100,VGP845,MWT,14:39:00,17:46:00,03:07:00,27,"16,29,42,117,127,129,513,535,925,1175,1227,1281,1401,1726,1960,2013,2213,2224,2813,3635,3821,3852,3897,4136,4372,4395,4610",14.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.000271592867478239
101,LTG028,T,06:26:00,07:28:00,01:02:00,20,"33,319,382,383,617,979,980,1527,1564,1687,2295,2434,2989,3062,3464,3591,3595,3987,4719,4727",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00013956741597750106
102,VGP845,HM,18:19:00,22:16:00,03:57:00,19,"36,92,341,1020,1446,1648,1898,2508,2541,2587,2834,2979,3495,3525,3566,4104,4353,4758,4787",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0002913040707625435
103,VGP845,MT,19:21:00,21:52:00,02:31:00,21,"77,231,565,1496,1559,1664,1710,2106,2108,2279,2367,2678,2728,2942,2990,3194,3447,3514,4060,4340,4859",11.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00019430424631591622
104,LTG028,WF,14:32:00,15:37:00,01:05:00,17,"132,964,1170,1203,1283,1466,1587,2679,2872,3070,3146,3298,3724,3742,3861,4374,4756",9.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.00013971233650429527
105,LEZ228,MFT,12:34:00,13:44:00,01:10:00,19,"507,1153,1227,1415,1639,1679,2122,2250,2319,2592,2642,2797,3509,3622,3827,4350,4573,4580,4688",10.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0018696037364949968
106,QDJ389,H,15:25:00,17:02:00,01:37:00,17,"122,271,721,1741,2287,2579,2970,3128,3249,3404,3739,3973,4223,4522,4591,4685,4975",9.0,0.5,0.5,1000,Fall_2020,0.01,0.01,0.0003687745885202822
