STUDENT_ID,SECTION,LOCATION,DAYS,START_TIME,END_TIME,DURATION,OCCUPANCY_RATIO,MASK,HEIGHT,RESPIRATORY_RATE,ACTIVE_EMISSION,PASSIVE_EMISSION,HVAC,STUDENT_ACTIVE_TIME,TEACHER_ACTIVE_TIME,DATASET,STUDENT_INFECTION_PROB,TEACHER_INFECTION_PROB,SIMULATION_DAYS,INFECTION_PROB_SESSION,HEALTHY_PROB_SESSION,HEALTHY_PROB_TOTAL
4,465,FRF846,M,10:46:00,11:50:00,01:04:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00015822809571298504,0.999841771904287,0.999841771904287
4,112,QDJ389,TMF,09:15:00,12:24:00,03:09:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0007480428240595816,0.9992519571759404,0.9977575498134402
4,300,VGP845,HF,15:46:00,19:07:00,03:21:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00028069905811250095,0.9997193009418875,0.9994386806757363
5,40,LEZ228,WH,13:32:00,14:56:00,01:24:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.002126505897784412,0.9978734941022156,0.9957515102317646
6,56,LEZ228,MWH,09:14:00,10:40:00,01:26:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0021751687152913577,0.9978248312847087,0.993488677639442
6,424,ICH942,FT,18:50:00,21:09:00,02:19:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0003970704417098854,0.9996029295582901,0.9992060167815159
6,238,TVN387,MH,18:07:00,20:33:00,02:26:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00026718531452076086,0.9997328146854793,0.9994657007589508
7,84,QDJ389,W,12:32:00,14:31:00,01:59:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00043032490366925894,0.9995696750963308,0.9995696750963308
8,3,UGS416,TMH,13:09:00,16:07:00,02:58:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00019972946804070366,0.9998002705319593,0.9994009312634915
8,376,ICH942,WM,20:35:00,22:46:00,02:11:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00037433818281992515,0.99962566181718,0.9992514637634352
9,196,UGS416,TM,10:01:00,13:34:00,03:33:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00022898799054219717,0.9997710120094578,0.9995420764544155
9,169,VGP845,MFH,18:32:00,20:55:00,02:23:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0001919764624886046,0.9998080235375114,0.9994241811703454
10,428,LEZ228,TFM,09:10:00,12:26:00,03:16:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.004723232553824016,0.995276767446176,0.9858971237455562
10,288,LTG028,MF,17:47:00,21:42:00,03:55:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00047802403671969604,0.9995219759632803,0.9990441804335403
11,448,QDJ389,MTH,12:45:00,16:40:00,03:55:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0010539804295768703,0.9989460195704232,0.9968413901646671
11,237,SYH090,FW,18:55:00,22:10:00,03:15:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00014804955278509822,0.9998519504472149,0.9997039228130998
12,300,VGP845,HF,15:46:00,19:07:00,03:21:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00028069905811250095,0.9997193009418875,0.9994386806757363
13,461,VGP845,FHW,08:40:00,10:20:00,01:40:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00015101389953861766,0.9998489861004614,0.9995470267135337
14,29,FRF846,TF,08:03:00,11:00:00,02:57:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.000503354979012731,0.9994966450209872,0.9989935434082093
15,82,VGP845,HT,09:58:00,12:20:00,02:22:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00019063758360043952,0.9998093624163995,0.9996187611754873
15,337,YAN039,WM,19:23:00,21:38:00,02:15:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00013745905679932166,0.9998625409432007,0.9997251007813938
16,432,UGS416,TW,09:27:00,10:55:00,01:28:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,8.25463770859215e-05,0.9999174536229141,0.9998349140597325
16,59,LEZ228,FW,06:38:00,10:36:00,03:58:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.007078376118095834,0.9929216238819042,0.9858933511722776
16,100,VGP845,MWT,14:39:00,17:46:00,03:07:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.000271592867478239,0.9997284071325218,0.9991854426655888
17,77,FRF846,T,10:44:00,13:17:00,02:33:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0005340996849073313,0.9994659003150926,0.9994659003150926
17,294,LTG028,HF,16:14:00,19:43:00,03:29:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0005314445144843689,0.9994685554855156,0.9989373934043032
17,71,QDJ389,HM,09:57:00,11:43:00,01:46:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0004218198268916441,0.9995781801731084,0.9991565382781832
18,455,QDJ389,W,17:14:00,19:14:00,02:00:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00049868499672005,0.99950131500328,0.99950131500328
18,351,SYH090,MTW,11:41:00,13:12:00,01:31:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,7.64111212107878e-05,0.9999235888787892,0.9997707841518998
19,332,LEZ228,M,16:10:00,19:06:00,02:56:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0038481283195432466,0.9961518716804567,0.9961518716804567
20,313,SYH090,WTM,09:26:00,12:33:00,03:07:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00016419401545040175,0.9998358059845496,0.9995074988282462
20,371,UGS416,T,08:21:00,12:00:00,03:39:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00023541523451911436,0.9997645847654809,0.9997645847654809
21,6,QDJ389,FW,11:24:00,14:30:00,03:06:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0007697507001620855,0.999230249299838,0.9984610911158163
21,81,UGS416,FTH,10:58:00,13:59:00,03:01:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00018628994271297695,0.999813710057287,0.9994412342772243
22,352,LEZ228,TF,11:55:00,14:11:00,02:16:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0036969588175028213,0.9963030411824971,0.9926197498694925
23,439,LEZ228,TWH,14:47:00,18:15:00,03:28:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.004733564054067447,0.9952664359459326,0.9858664216605476
24,296,LEZ228,FWM,07:41:00,10:15:00,02:34:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0034023817534973026,0.9965976182465027,0.9898275439576407
24,462,QDJ389,HMW,14:34:00,16:40:00,02:06:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0005460890307040494,0.9994539109692959,0.9983626273847251
25,333,LEZ228,TMH,14:04:00,15:20:00,01:16:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.002492179688430793,0.9975078203115693,0.9925420783346787
25,409,VGP845,TF,14:22:00,16:21:00,01:59:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.000146617144839296,0.9998533828551607,0.9997067872069085
25,221,YAN039,F,13:48:00,15:32:00,01:44:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00014592788992998267,0.99985407211007,0.99985407211007
26,151,YAN039,WFT,06:06:00,08:47:00,02:41:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00016385491566571055,0.9998361450843343,0.9995085157939038
26,444,YAN039,THW,08:39:00,12:10:00,03:31:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00021454589177884704,0.9997854541082212,0.999356500404607
27,448,QDJ389,MTH,12:45:00,16:40:00,03:55:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0010539804295768703,0.9989460195704232,0.9968413901646671
27,451,YAN039,H,07:34:00,10:38:00,03:04:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00022253595626766658,0.9997774640437324,0.9997774640437324
27,91,LEZ228,TM,19:08:00,20:43:00,01:35:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.002626564103395875,0.9973734358966041,0.9947537706321975
28,390,UGS416,FW,10:10:00,13:44:00,03:34:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00019034616994350353,0.9998096538300565,0.9996193438917774
29,478,SYH090,FMW,19:19:00,21:38:00,02:19:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00013313509441767902,0.9998668649055823,0.9996006478892472
29,100,VGP845,MWT,14:39:00,17:46:00,03:07:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.000271592867478239,0.9997284071325218,0.9991854426655888
30,357,UGS416,FW,17:51:00,21:45:00,03:54:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00027318800571760987,0.9997268119942824,0.9994536986202512
31,29,FRF846,TF,08:03:00,11:00:00,02:57:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.000503354979012731,0.9994966450209872,0.9989935434082093
31,229,YAN039,WTH,15:05:00,16:38:00,01:33:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,9.923509232716965e-05,0.9999007649076729,0.9997023242648521
31,116,LTG028,WF,07:09:00,11:06:00,03:57:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0006260840240364834,0.9993739159759635,0.9987482239331321
32,438,QDJ389,TM,06:58:00,08:30:00,01:32:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00036644419654931887,0.9996335558034507,0.9992672458882506
32,381,LEZ228,MW,12:24:00,14:00:00,01:36:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0026531040319102573,0.9973468959680898,0.9947008308971838
33,60,TVN387,M,14:13:00,17:17:00,03:04:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00029629043427491355,0.9997037095657251,0.9997037095657251
33,101,LTG028,T,06:26:00,07:28:00,01:02:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00013956741597750106,0.9998604325840225,0.9998604325840225
34,221,YAN039,F,13:48:00,15:32:00,01:44:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00014592788992998267,0.99985407211007,0.99985407211007
35,3,UGS416,TMH,13:09:00,16:07:00,02:58:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00019972946804070366,0.9998002705319593,0.9994009312634915
36,485,QDJ389,FH,20:10:00,22:37:00,02:27:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0007420367710688504,0.9992579632289311,0.9985164770764319
36,447,VGP845,FH,14:20:00,15:45:00,01:25:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,8.592146901829681e-05,0.9999140785309817,0.9998281644444622
36,102,VGP845,HM,18:19:00,22:16:00,03:57:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0002913040707625435,0.9997086959292375,0.9994174767165367
37,213,LTG028,M,16:04:00,17:19:00,01:15:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00019917221614668942,0.9998008277838533,0.9998008277838533
38,470,ICH942,MWT,09:11:00,11:52:00,02:41:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0004213964055616594,0.9995786035944383,0.9987363434332773
38,168,QDJ389,H,07:46:00,11:00:00,03:14:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0007327087963569942,0.999267291203643,0.999267291203643
38,91,LEZ228,TM,19:08:00,20:43:00,01:35:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.002626564103395875,0.9973734358966041,0.9947537706321975
39,52,SYH090,F,18:11:00,19:15:00,01:04:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,5.88284339991917e-05,0.9999411715660008,0.9999411715660008
39,287,YAN039,WTF,16:19:00,19:57:00,03:38:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0002739838977609784,0.999726016102239,0.9991782734876785
39,61,UGS416,HW,13:17:00,14:55:00,01:38:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0001191994759337922,0.9998808005240662,0.9997616152566475
40,185,LTG028,H,14:06:00,15:41:00,01:35:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00022322407873989097,0.9997767759212601,0.9997767759212601
40,147,UGS416,FWM,18:37:00,21:19:00,02:42:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00017430541140918285,0.9998256945885908,0.999477174907606
40,229,YAN039,WTH,15:05:00,16:38:00,01:33:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,9.923509232716965e-05,0.9999007649076729,0.9997023242648521
41,148,TVN387,W,06:23:00,08:45:00,02:22:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00019793710567575355,0.9998020628943243,0.9998020628943243
42,430,FRF846,H,10:06:00,12:10:00,02:04:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00033753860189316673,0.9996624613981069,0.9996624613981069
42,100,VGP845,MWT,14:39:00,17:46:00,03:07:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.000271592867478239,0.9997284071325218,0.9991854426655888
42,378,LEZ228,MHF,08:09:00,10:15:00,02:06:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0029758668499076774,0.9970241331500923,0.9910989404471695
43,22,ICH942,WMH,12:45:00,15:57:00,03:12:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0005018639081213138,0.9994981360918787,0.9984951637513796
43,87,YAN039,WM,12:09:00,16:08:00,03:59:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0002773252127120655,0.9997226747872879,0.9994454264838495
43,318,LTG028,MH,15:56:00,17:23:00,01:27:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00019566306429767916,0.9998043369357024,0.9996087121554394
44,310,TVN387,MFW,08:04:00,10:20:00,02:16:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00021927664657272447,0.9997807233534273,0.9993423142964817
45,325,LEZ228,HW,16:05:00,18:52:00,02:47:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0034627877853016854,0.9965372122146983,0.9930864153286426
46,269,QDJ389,HM,16:01:00,18:10:00,02:09:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0005125737895938043,0.9994874262104062,0.9989751151527022
46,25,LTG028,MHF,19:20:00,20:55:00,01:35:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00023285634549504634,0.9997671436545049,0.9993015936171217
46,430,FRF846,H,10:06:00,12:10:00,02:04:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00033753860189316673,0.9996624613981069,0.9996624613981069
47,316,UGS416,H,13:04:00,14:59:00,01:55:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00012383069622032538,0.9998761693037796,0.9998761693037796
47,308,TVN387,M,07:08:00,10:21:00,03:13:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00029667834537806386,0.999703321654622,0.999703321654622
47,95,TVN387,MFW,08:59:00,11:07:00,02:08:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00021573004807266133,0.9997842699519274,0.9993529494641031
48,424,ICH942,FT,18:50:00,21:09:00,02:19:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0003970704417098854,0.9996029295582901,0.9992060167815159
48,108,LTG028,HWM,08:38:00,11:08:00,02:30:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00033656408721534624,0.9996634359127846,0.9989906475263838
48,308,TVN387,M,07:08:00,10:21:00,03:13:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00029667834537806386,0.999703321654622,0.999703321654622
49,326,VGP845,TFW,09:04:00,10:41:00,01:37:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,9.802339200885218e-05,0.9999019766079912,0.9997059586487879
49,114,YAN039,MHT,11:56:00,15:54:00,03:58:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00026473992933227894,0.9997352600706677,0.9992059904551388
50,245,UGS416,FH,19:25:00,21:17:00,01:52:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00014139721758160538,0.9998586027824184,0.99971722555801
50,312,YAN039,F,12:12:00,14:35:00,02:23:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0001318440623718315,0.9998681559376281,0.9998681559376281
51,61,UGS416,HW,13:17:00,14:55:00,01:38:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0001191994759337922,0.9998808005240662,0.9997616152566475
51,299,YAN039,FMT,18:34:00,20:36:00,02:02:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0001066677751486916,0.9998933322248513,0.9996800308073831
52,82,VGP845,HT,09:58:00,12:20:00,02:22:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00019063758360043952,0.9998093624163995,0.9996187611754873
52,127,LEZ228,F,15:46:00,19:33:00,03:47:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.005950449360872514,0.9940495506391275,0.9940495506391275
53,393,UGS416,W,11:26:00,15:24:00,03:58:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00027784084451804784,0.9997221591554819,0.9997221591554819
54,230,VGP845,TFW,14:04:00,15:36:00,01:32:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00011341327376714744,0.9998865867262329,0.9996597987649518
54,33,QDJ389,HT,19:55:00,21:30:00,01:35:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.000361220199726015,0.9996387798002739,0.9992776900805805
55,206,UGS416,HFM,08:28:00,12:11:00,03:43:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0002293540050841647,0.9997706459949158,0.9993120957824617
56,117,FRF846,WT,10:05:00,11:11:00,01:06:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00018016734932926128,0.9998198326506708,0.9996396977616153
56,361,LTG028,M,19:35:00,22:05:00,02:30:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00033656408721534624,0.9996634359127846,0.9996634359127846
57,275,SYH090,T,10:42:00,14:19:00,03:37:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00019903881028304228,0.999800961189717,0.999800961189717
57,133,VGP845,WHT,10:35:00,12:50:00,02:15:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00015878241171258126,0.9998412175882874,0.9995237283964217
58,289,QDJ389,M,06:40:00,09:35:00,02:55:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0006932648373069361,0.9993067351626931,0.9993067351626931
58,68,TVN387,THW,06:31:00,10:07:00,03:36:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00041032353277665405,0.9995896764672233,0.9987695344287902
58,350,UGS416,FWT,17:26:00,18:34:00,01:08:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,6.380926070841263e-05,0.9999361907392916,0.9998085844324803
59,264,LEZ228,WHT,16:30:00,19:43:00,03:13:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.004892144337636119,0.9951078556623639,0.9853952491316893
59,299,YAN039,FMT,18:34:00,20:36:00,02:02:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0001066677751486916,0.9998933322248513,0.9996800308073831
60,347,QDJ389,HW,08:29:00,10:50:00,02:21:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.0006612619355749751,0.999338738064425,0.9986779133961974
60,436,YAN039,W,14:26:00,16:08:00,01:42:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,9.901978309315802e-05,0.9999009802169069,0.9999009802169069
60,8,YAN039,TF,16:58:00,19:55:00,02:57:00,0.5,0.5,2.7,0.0002,40,1,0.8,0.05,0.9,Fall_2020,0.01,0.01,7,0.00018008608282334216,0.9998199139171766,0.9996398602653505
