SECTION,LOCATION,DAYS,START_TIME,END_TIME
65,VGP845,HWM,08:04:00,09:21:00
66,YAN039,MH,18:41:00,19:48:00
67,UGS416,TF,12:42:00,16:28:00
68,TVN387,THW,06:31:00,10:07:00
69,VGP845,F,09:19:00,12:45:00
70,LEZ228,MT,10:35:00,12:59:00
71,QDJ389,HM,09:57:00,11:43:00
72,VGP845,FTH,10:09:00,12:24:00
73,YAN039,M,19:08:00,21:04:00
74,UGS416,MTH,19:16:00,20:22:00
75,SYH090,F,16:00:00,18:13:00
76,LEZ228,F,08:00:00,10:39:00
77,FRF846,T,10:44:00,13:17:00
78,TVN387,H,06:08:00,09:20:00
79,ICH942,TH,07:25:00,09:09:00
80,YAN039,THF,20:56:00,22:47:00
81,UGS416,FTH,10:58:00,13:59:00
82,VGP845,HT,09:58:00,12:20:00
83,QDJ389,F,19:57:00,21:16:00
84,QDJ389,W,12:32:00,14:31:00
85,YAN039,TMH,20:33:00,21:33:00
86,YAN039,MW,16:48:00,20:21:00
87,YAN039,WM,12:09:00,16:08:00
88,YAN039,THF,11:30:00,12:42:00
89,QDJ389,WMT,14:14:00,17:55:00
90,QDJ389,T,07:40:00,11:18:00
91,LEZ228,TM,19:08:00,20:43:00
92,LEZ228,F,10:53:00,14:30:00
93,YAN039,TF,18:08:00,19:59:00
94,YAN039,MWF,09:18:00,10:31:00
95,TVN387,MFW,08:59:00,11:07:00
96,LEZ228,WT,15:45:00,19:39:00
97,QDJ389,MT,13:41:00,15:11:00
98,LEZ228,H,09:04:00,12:31:00
99,QDJ389,TW,10:49:00,14:19:00
100,VGP845,MWT,14:39:00,17:46:00
101,LTG028,T,06:26:00,07:28:00
102,VGP845,HM,18:19:00,22:16:00
103,VGP845,MT,19:21:00,21:52:00
104,LTG028,WF,14:32:00,15:37:00
105,LEZ228,MFT,12:34:00,13:44:00
106,QDJ389,H,15:25:00,17:02:00
107,SYH090,WTH,06:07:00,07:17:00
108,LTG028,HWM,08:38:00,11:08:00
109,TVN387,WF,19:53:00,21:34:00
110,YAN039,T,09:56:00,11:08:00
111,VGP845,HM,14:48:00,18:28:00
112,QDJ389,TMF,09:15:00,12:24:00
113,FRF846,MT,10:50:00,14:44:00
114,YAN039,MHT,11:56:00,15:54:00
115,YAN039,WFT,15:27:00,17:02:00
116,LTG028,WF,07:09:00,11:06:00
117,FRF846,WT,10:05:00,11:11:00
118,UGS416,HF,10:07:00,14:05:00
119,UGS416,F,10:55:00,14:31:00
120,VGP845,TH,17:07:00,19:41:00
121,UGS416,FWT,20:08:00,21:25:00
122,ICH942,W,16:56:00,20:47:00
123,LEZ228,T,07:08:00,09:21:00
124,LTG028,HW,16:07:00,19:43:00
125,SYH090,H,07:58:00,09:48:00
126,UGS416,M,10:48:00,14:14:00
127,LEZ228,F,15:46:00,19:33:00
128,VGP845,M,17:16:00,19:21:00
129,LEZ228,MWF,11:45:00,13:42:00
130,UGS416,H,08:46:00,12:10:00
131,YAN039,WHT,17:17:00,21:10:00
132,LEZ228,W,17:41:00,19:19:00
133,VGP845,WHT,10:35:00,12:50:00
134,VGP845,T,18:15:00,21:16:00
135,QDJ389,HM,06:45:00,09:28:00
136,SYH090,WM,16:05:00,19:26:00
137,UGS416,WF,19:57:00,20:58:00
138,LTG028,MH,13:39:00,15:00:00
139,LEZ228,FWH,07:53:00,09:51:00
140,FRF846,HT,16:01:00,18:09:00
141,ICH942,TW,06:17:00,09:27:00
142,UGS416,F,16:54:00,19:37:00
143,LEZ228,FT,13:57:00,17:36:00
144,ICH942,W,11:28:00,14:04:00
145,LEZ228,HT,18:13:00,21:06:00
146,QDJ389,FW,11:29:00,13:11:00
147,UGS416,FWM,18:37:00,21:19:00
148,TVN387,W,06:23:00,08:45:00
149,SYH090,WTM,08:35:00,09:40:00
150,LTG028,M,09:08:00,11:08:00
151,YAN039,WFT,06:06:00,08:47:00
152,YAN039,FWH,12:18:00,15:50:00
153,LEZ228,FWH,12:29:00,14:18:00
154,FRF846,TWM,12:14:00,14:00:00
155,FRF846,WH,09:06:00,11:17:00
156,TVN387,HW,07:05:00,09:56:00
157,YAN039,TW,06:58:00,08:58:00
158,VGP845,HFW,11:14:00,12:14:00
159,ICH942,M,14:09:00,17:46:00
160,SYH090,WF,15:31:00,18:02:00
161,SYH090,T,16:26:00,17:38:00
162,TVN387,H,19:14:00,22:54:00
163,UGS416,HF,20:09:00,22:35:00
164,UGS416,H,09:31:00,11:42:00
165,VGP845,FM,15:45:00,18:43:00
166,LTG028,WFM,17:56:00,19:52:00
167,VGP845,W,14:44:00,16:26:00
168,QDJ389,H,07:46:00,11:00:00
169,VGP845,MFH,18:32:00,20:55:00
170,VGP845,FMT,13:03:00,14:44:00
171,QDJ389,WTM,13:01:00,15:01:00
172,VGP845,H,10:18:00,13:31:00
173,VGP845,HT,16:51:00,19:12:00
174,UGS416,F,06:51:00,10:01:00
175,LTG028,M,10:51:00,14:46:00
176,LTG028,M,08:10:00,09:22:00
177,LEZ228,FM,18:48:00,21:02:00
178,ICH942,T,10:29:00,11:31:00
179,YAN039,WH,20:22:00,22:55:00
180,YAN039,HMT,17:31:00,19:55:00
181,TVN387,M,11:55:00,15:37:00
182,SYH090,M,08:02:00,09:13:00
183,SYH090,F,09:19:00,12:43:00
184,LEZ228,HFM,13:56:00,16:30:00
185,LTG028,H,14:06:00,15:41:00
186,YAN039,F,11:37:00,14:41:00
187,FRF846,W,10:12:00,12:19:00
188,VGP845,W,20:55:00,22:18:00
189,ICH942,TF,09:10:00,11:14:00
190,YAN039,TF,16:38:00,19:26:00
191,LEZ228,W,12:03:00,14:44:00
192,VGP845,T,11:55:00,15:36:00
193,QDJ389,TW,20:03:00,22:42:00
194,ICH942,WM,11:18:00,14:10:00
195,LEZ228,MF,12:21:00,14:30:00
196,UGS416,TM,10:01:00,13:34:00
197,QDJ389,W,07:09:00,10:19:00
198,ICH942,F,07:18:00,09:33:00
199,VGP845,TFH,15:04:00,18:16:00
200,LTG028,FWM,16:17:00,18:11:00
201,YAN039,FWH,17:13:00,19:57:00
202,YAN039,FMW,14:12:00,17:00:00
203,VGP845,FT,10:59:00,14:26:00
204,QDJ389,WF,12:07:00,14:43:00
205,FRF846,T,11:39:00,12:54:00
206,UGS416,HFM,08:28:00,12:11:00
207,LEZ228,FM,18:10:00,20:10:00
208,SYH090,T,12:12:00,13:35:00
209,UGS416,WF,13:32:00,16:20:00
210,UGS416,F,15:48:00,18:47:00
211,FRF846,WHT,07:12:00,11:09:00
212,UGS416,WF,09:08:00,11:50:00
213,LTG028,M,16:04:00,17:19:00
214,VGP845,MF,18:22:00,22:06:00
215,YAN039,FW,20:02:00,22:58:00
216,FRF846,HW,14:59:00,16:35:00
217,QDJ389,HM,06:40:00,07:40:00
218,TVN387,W,14:59:00,16:42:00
219,VGP845,TWM,20:21:00,22:47:00
220,ICH942,F,08:34:00,09:36:00
221,YAN039,F,13:48:00,15:32:00
222,YAN039,FHM,18:19:00,19:40:00
223,FRF846,MHT,17:05:00,18:32:00
224,QDJ389,HF,11:54:00,14:24:00
225,ICH942,MWT,13:53:00,17:38:00
226,YAN039,W,18:56:00,21:32:00
227,TVN387,HF,15:44:00,18:45:00
228,LEZ228,TF,18:46:00,22:42:00
229,YAN039,WTH,15:05:00,16:38:00
230,VGP845,TFW,14:04:00,15:36:00
231,UGS416,H,16:53:00,20:29:00
232,YAN039,HMF,06:07:00,09:07:00
233,YAN039,TFW,14:28:00,15:45:00
234,FRF846,H,16:19:00,18:29:00
235,TVN387,HFM,07:08:00,08:31:00
236,QDJ389,FTM,06:47:00,08:10:00
237,SYH090,FW,18:55:00,22:10:00
238,TVN387,MH,18:07:00,20:33:00
239,LTG028,H,17:44:00,21:24:00
240,YAN039,WTH,09:36:00,11:55:00
241,SYH090,M,17:15:00,20:10:00
242,FRF846,W,15:39:00,19:34:00
243,YAN039,MFT,14:32:00,16:13:00
244,LEZ228,FHM,09:09:00,10:19:00
245,UGS416,FH,19:25:00,21:17:00
246,LEZ228,WTM,13:06:00,14:55:00
247,QDJ389,W,17:50:00,21:24:00
248,YAN039,W,10:07:00,13:51:00
249,VGP845,F,16:12:00,19:34:00
250,QDJ389,M,07:36:00,09:38:00
251,UGS416,FMT,07:37:00,10:25:00
252,FRF846,HWT,06:38:00,09:04:00
253,QDJ389,HWF,10:49:00,14:08:00
254,TVN387,HM,08:31:00,12:03:00
255,TVN387,M,17:00:00,19:21:00
256,VGP845,M,18:11:00,20:09:00
257,TVN387,F,15:33:00,19:21:00
258,YAN039,MH,18:24:00,21:44:00
259,FRF846,WH,16:47:00,20:37:00
260,VGP845,FT,11:51:00,13:33:00
261,VGP845,WHF,07:07:00,09:42:00
262,UGS416,WH,18:22:00,21:03:00
263,TVN387,H,08:24:00,11:17:00
264,LEZ228,WHT,16:30:00,19:43:00
265,SYH090,FT,17:07:00,20:13:00
266,YAN039,TM,07:21:00,11:04:00
267,LEZ228,W,18:52:00,21:35:00
268,VGP845,MHT,10:22:00,12:58:00
269,QDJ389,HM,16:01:00,18:10:00
270,TVN387,HF,17:33:00,18:33:00
271,QDJ389,T,12:55:00,15:05:00
272,VGP845,HTW,09:19:00,10:50:00
273,VGP845,H,17:17:00,19:26:00
274,YAN039,FMW,08:03:00,10:51:00
275,SYH090,T,10:42:00,14:19:00
276,YAN039,F,10:44:00,13:46:00
277,YAN039,H,08:14:00,11:59:00
278,UGS416,T,13:11:00,15:10:00
279,FRF846,HMT,20:30:00,22:38:00
280,UGS416,M,06:34:00,08:47:00
281,VGP845,W,15:16:00,18:52:00
282,LEZ228,F,12:32:00,13:51:00
283,YAN039,MTH,10:45:00,14:06:00
284,LEZ228,FT,06:59:00,08:36:00
285,UGS416,T,18:04:00,19:06:00
286,YAN039,HT,07:57:00,09:01:00
287,YAN039,WTF,16:19:00,19:57:00
288,LTG028,MF,17:47:00,21:42:00
289,QDJ389,M,06:40:00,09:35:00
290,YAN039,TW,17:30:00,18:45:00
291,VGP845,F,13:43:00,16:00:00
292,LTG028,H,14:33:00,18:06:00
293,YAN039,H,08:26:00,09:31:00
294,LTG028,HF,16:14:00,19:43:00
295,QDJ389,T,14:35:00,17:16:00
296,LEZ228,FWM,07:41:00,10:15:00
297,QDJ389,TW,07:10:00,09:39:00
298,YAN039,M,18:38:00,19:40:00
299,YAN039,FMT,18:34:00,20:36:00
300,VGP845,HF,15:46:00,19:07:00
301,UGS416,MW,19:52:00,21:17:00
302,YAN039,WM,17:10:00,20:58:00
303,VGP845,TH,06:43:00,10:26:00
304,LEZ228,MHT,06:54:00,10:36:00
305,FRF846,THM,16:10:00,19:02:00
306,VGP845,T,09:03:00,10:10:00
307,YAN039,TMF,11:10:00,13:26:00
308,TVN387,M,07:08:00,10:21:00
309,VGP845,F,15:27:00,17:56:00
310,TVN387,MFW,08:04:00,10:20:00
311,UGS416,HTW,16:51:00,20:05:00
312,YAN039,F,12:12:00,14:35:00
313,SYH090,WTM,09:26:00,12:33:00
314,QDJ389,WT,14:21:00,17:12:00
315,QDJ389,MH,15:04:00,17:38:00
316,UGS416,H,13:04:00,14:59:00
317,YAN039,TH,07:17:00,08:45:00
318,LTG028,MH,15:56:00,17:23:00
319,LTG028,M,09:49:00,12:18:00
320,QDJ389,HMW,06:20:00,09:43:00
321,LEZ228,THW,10:50:00,12:39:00
322,FRF846,WT,16:43:00,20:09:00
323,UGS416,FTH,17:35:00,20:53:00
324,TVN387,HMW,06:20:00,09:39:00
325,LEZ228,HW,16:05:00,18:52:00
326,VGP845,TFW,09:04:00,10:41:00
327,VGP845,M,06:44:00,09:59:00
328,LTG028,FM,13:24:00,15:26:00
329,QDJ389,TMF,16:04:00,18:26:00
330,LTG028,HMF,09:13:00,12:16:00
331,VGP845,H,20:14:00,21:30:00
332,LEZ228,M,16:10:00,19:06:00
333,LEZ228,TMH,14:04:00,15:20:00
334,YAN039,TFH,11:38:00,13:05:00
335,SYH090,WTF,18:51:00,22:44:00
336,QDJ389,WT,12:46:00,16:02:00
337,YAN039,WM,19:23:00,21:38:00
338,LTG028,F,08:57:00,11:42:00
339,FRF846,MWH,10:03:00,12:19:00
340,QDJ389,HTM,06:51:00,07:53:00
341,LEZ228,WH,10:00:00,12:07:00
342,UGS416,MFT,15:59:00,17:08:00
343,QDJ389,MTF,11:54:00,12:59:00
344,LEZ228,HF,18:50:00,21:09:00
345,FRF846,HM,17:43:00,18:44:00
346,UGS416,THF,14:41:00,16:27:00
347,QDJ389,HW,08:29:00,10:50:00
348,VGP845,TFM,18:24:00,21:23:00
349,TVN387,WFH,08:37:00,12:10:00
350,UGS416,FWT,17:26:00,18:34:00
351,SYH090,MTW,11:41:00,13:12:00
352,LEZ228,TF,11:55:00,14:11:00
353,TVN387,FW,20:05:00,22:41:00
354,SYH090,FTM,11:53:00,13:09:00
355,UGS416,TF,08:53:00,10:54:00
356,QDJ389,TW,10:59:00,14:00:00
357,UGS416,FW,17:51:00,21:45:00
358,VGP845,W,11:45:00,15:44:00
359,LEZ228,WFH,07:09:00,08:26:00
360,ICH942,FMT,16:39:00,19:32:00
361,LTG028,M,19:35:00,22:05:00
362,LEZ228,M,11:27:00,14:17:00
363,FRF846,THW,10:43:00,14:10:00
364,UGS416,TMF,18:00:00,19:47:00
365,LTG028,WH,14:30:00,18:01:00
366,LTG028,HM,14:11:00,17:02:00
367,ICH942,TWF,10:48:00,12:08:00
368,UGS416,TW,18:50:00,21:15:00
369,ICH942,WF,08:59:00,10:55:00
370,LEZ228,MT,17:25:00,19:01:00
371,UGS416,T,08:21:00,12:00:00
372,VGP845,M,08:24:00,09:51:00
373,LEZ228,MF,08:55:00,11:05:00
374,FRF846,H,19:30:00,21:02:00
375,LTG028,H,08:05:00,09:48:00
376,ICH942,WM,20:35:00,22:46:00
377,UGS416,HTF,09:50:00,11:07:00
378,LEZ228,MHF,08:09:00,10:15:00
379,LEZ228,TWM,13:06:00,15:34:00
380,SYH090,TFW,11:25:00,15:09:00
381,LEZ228,MW,12:24:00,14:00:00
382,LEZ228,F,14:30:00,15:52:00
383,TVN387,MWH,18:17:00,20:43:00
384,UGS416,FW,07:20:00,09:34:00
385,ICH942,WM,06:36:00,08:00:00
386,LEZ228,THM,16:48:00,19:56:00
387,QDJ389,MT,12:16:00,13:39:00
388,SYH090,MF,20:34:00,21:50:00
389,SYH090,T,15:15:00,18:03:00
390,UGS416,FW,10:10:00,13:44:00
391,UGS416,H,19:55:00,21:07:00
392,YAN039,TH,08:43:00,11:47:00
393,UGS416,W,11:26:00,15:24:00
394,UGS416,FT,14:35:00,17:08:00
395,LTG028,M,07:03:00,09:56:00
396,ICH942,M,06:58:00,08:53:00
397,VGP845,TH,18:00:00,21:21:00
398,UGS416,W,07:19:00,09:34:00
399,QDJ389,WTH,13:25:00,16:05:00
400,LEZ228,TM,19:58:00,21:13:00
401,YAN039,MFW,11:27:00,13:01:00
402,LEZ228,HT,13:48:00,16:49:00
403,LTG028,HM,12:40:00,14:37:00
404,YAN039,FH,09:48:00,13:36:00
405,YAN039,WM,07:15:00,11:07:00
406,LEZ228,HFM,07:06:00,09:29:00
407,VGP845,FTH,12:25:00,14:23:00
408,ICH942,T,17:31:00,20:27:00
409,VGP845,TF,14:22:00,16:21:00
410,QDJ389,M,10:23:00,12:49:00
411,SYH090,WMT,15:49:00,17:24:00
412,SYH090,W,19:30:00,20:39:00
413,TVN387,WMF,20:14:00,21:56:00
414,QDJ389,MTF,19:33:00,22:48:00
415,LEZ228,FT,08:07:00,10:10:00
416,YAN039,HT,08:31:00,09:51:00
417,SYH090,T,21:17:00,22:22:00
418,VGP845,WF,13:58:00,15:44:00
419,SYH090,F,11:43:00,15:15:00
420,SYH090,W,06:10:00,07:29:00
421,VGP845,WF,07:47:00,09:17:00
422,LTG028,F,08:30:00,10:18:00
423,LEZ228,H,06:31:00,09:36:00
424,ICH942,FT,18:50:00,21:09:00
425,LTG028,FM,07:33:00,11:12:00
426,LTG028,HF,18:37:00,22:00:00
427,ICH942,MW,20:39:00,22:06:00
428,LEZ228,TFM,09:10:00,12:26:00
429,QDJ389,W,14:30:00,15:56:00
430,FRF846,H,10:06:00,12:10:00
431,LEZ228,FTW,07:23:00,09:56:00
432,UGS416,TW,09:27:00,10:55:00
433,VGP845,WMH,16:13:00,18:06:00
434,QDJ389,HFW,20:46:00,22:52:00
435,SYH090,TM,16:52:00,20:46:00
436,YAN039,W,14:26:00,16:08:00
437,VGP845,F,06:20:00,09:39:00
438,QDJ389,TM,06:58:00,08:30:00
439,LEZ228,TWH,14:47:00,18:15:00
440,UGS416,W,16:29:00,19:24:00
441,LEZ228,TMH,14:59:00,17:29:00
442,QDJ389,FM,15:02:00,17:02:00
443,UGS416,HW,11:59:00,15:08:00
444,YAN039,THW,08:39:00,12:10:00
445,QDJ389,TFH,13:11:00,14:38:00
446,ICH942,FT,13:06:00,15:38:00
447,VGP845,FH,14:20:00,15:45:00
448,QDJ389,MTH,12:45:00,16:40:00
449,LEZ228,TH,07:07:00,10:32:00
450,LTG028,MHW,09:22:00,11:23:00
451,YAN039,H,07:34:00,10:38:00
452,LTG028,M,11:00:00,13:58:00
453,FRF846,TW,06:56:00,10:04:00
454,UGS416,MFT,16:28:00,19:48:00
455,QDJ389,W,17:14:00,19:14:00
456,SYH090,WFT,18:00:00,20:43:00
457,VGP845,F,20:06:00,21:34:00
458,LEZ228,F,17:31:00,19:37:00
459,ICH942,F,08:33:00,11:41:00
460,VGP845,M,15:51:00,17:05:00
461,VGP845,FHW,08:40:00,10:20:00
462,QDJ389,HMW,14:34:00,16:40:00
463,QDJ389,HT,14:48:00,16:12:00
464,SYH090,F,15:38:00,17:41:00
465,FRF846,M,10:46:00,11:50:00
466,VGP845,H,19:23:00,22:22:00
467,UGS416,W,16:56:00,18:47:00
468,LEZ228,W,09:41:00,11:39:00
469,LEZ228,W,10:26:00,12:21:00
470,ICH942,MWT,09:11:00,11:52:00
471,FRF846,WHT,08:43:00,12:29:00
472,LEZ228,W,17:42:00,20:30:00
473,SYH090,FM,15:06:00,16:29:00
474,TVN387,MWF,14:10:00,18:01:00
475,TVN387,H,08:01:00,10:45:00
476,UGS416,M,14:59:00,16:05:00
477,VGP845,TW,06:43:00,08:21:00
478,SYH090,FMW,19:19:00,21:38:00
479,QDJ389,T,08:12:00,10:18:00
480,VGP845,FTM,06:56:00,10:18:00
481,UGS416,THW,18:24:00,22:14:00
482,YAN039,H,17:39:00,19:31:00
483,VGP845,FW,17:22:00,18:53:00
484,UGS416,H,15:45:00,19:36:00
485,QDJ389,FH,20:10:00,22:37:00
486,LEZ228,HFW,11:59:00,13:54:00
487,YAN039,H,18:06:00,21:20:00
488,UGS416,T,08:39:00,10:47:00
489,UGS416,F,12:45:00,14:34:00
490,UGS416,TF,07:45:00,11:39:00
491,YAN039,M,09:33:00,12:24:00
492,VGP845,WTM,07:50:00,10:00:00
493,YAN039,TW,14:41:00,17:48:00
494,LEZ228,T,13:52:00,17:49:00
495,VGP845,T,19:39:00,21:40:00
496,VGP845,M,15:32:00,19:05:00
497,SYH090,FTM,09:46:00,11:34:00
498,VGP845,HT,12:37:00,14:05:00
499,ICH942,T,08:37:00,10:14:00
