STUDENT_ID,SECTION,LOCATION,DAYS,START_TIME,END_TIME
88,379,LEZ228,TWM,13:06:00,15:34:00
89,242,FRF846,W,15:39:00,19:34:00
89,329,QDJ389,TMF,16:04:00,18:26:00
90,306,VGP845,T,09:03:00,10:10:00
90,168,QDJ389,H,07:46:00,11:00:00
90,177,LEZ228,FM,18:48:00,21:02:00
91,406,LEZ228,HFM,07:06:00,09:29:00
91,423,LEZ228,H,06:31:00,09:36:00
92,474,TVN387,MWF,14:10:00,18:01:00
92,102,VGP845,HM,18:19:00,22:16:00
93,273,VGP845,H,17:17:00,19:26:00
93,145,LEZ228,HT,18:13:00,21:06:00
94,292,LTG028,H,14:33:00,18:06:00
94,157,YAN039,TW,06:58:00,08:58:00
95,232,YAN039,HMF,06:07:00,09:07:00
96,439,LEZ228,TWH,14:47:00,18:15:00
96,427,ICH942,MW,20:39:00,22:06:00
97,251,UGS416,FMT,07:37:00,10:25:00
97,453,FRF846,TW,06:56:00,10:04:00
98,448,QDJ389,MTH,12:45:00,16:40:00
99,257,TVN387,F,15:33:00,19:21:00
100,483,VGP845,FW,17:22:00,18:53:00
100,379,LEZ228,TWM,13:06:00,15:34:00
100,142,UGS416,F,16:54:00,19:37:00
101,476,UGS416,M,14:59:00,16:05:00
102,73,YAN039,M,19:08:00,21:04:00
102,325,LEZ228,HW,16:05:00,18:52:00
103,51,LEZ228,HF,12:37:00,13:52:00
103,338,LTG028,F,08:57:00,11:42:00
103,134,VGP845,T,18:15:00,21:16:00
104,246,LEZ228,WTM,13:06:00,14:55:00
105,494,LEZ228,T,13:52:00,17:49:00
105,380,SYH090,TFW,11:25:00,15:09:00
105,458,LEZ228,F,17:31:00,19:37:00
106,259,FRF846,WH,16:47:00,20:37:00
106,414,QDJ389,MTF,19:33:00,22:48:00
107,380,SYH090,TFW,11:25:00,15:09:00
107,112,QDJ389,TMF,09:15:00,12:24:00
107,362,LEZ228,M,11:27:00,14:17:00
108,354,SYH090,FTM,11:53:00,13:09:00
108,452,LTG028,M,11:00:00,13:58:00
109,254,TVN387,HM,08:31:00,12:03:00
110,196,UGS416,TM,10:01:00,13:34:00
110,383,TVN387,MWH,18:17:00,20:43:00
111,167,VGP845,W,14:44:00,16:26:00
112,365,LTG028,WH,14:30:00,18:01:00
112,238,TVN387,MH,18:07:00,20:33:00
113,273,VGP845,H,17:17:00,19:26:00
113,179,YAN039,WH,20:22:00,22:55:00
114,149,SYH090,WTM,08:35:00,09:40:00
114,368,UGS416,TW,18:50:00,21:15:00
114,143,LEZ228,FT,13:57:00,17:36:00
115,217,QDJ389,HM,06:40:00,07:40:00
116,213,LTG028,M,16:04:00,17:19:00
117,100,VGP845,MWT,14:39:00,17:46:00
118,489,UGS416,F,12:45:00,14:34:00
118,265,SYH090,FT,17:07:00,20:13:00
119,183,SYH090,F,09:19:00,12:43:00
119,226,YAN039,W,18:56:00,21:32:00
120,117,FRF846,WT,10:05:00,11:11:00
120,91,LEZ228,TM,19:08:00,20:43:00
121,188,VGP845,W,20:55:00,22:18:00
121,259,FRF846,WH,16:47:00,20:37:00
121,232,YAN039,HMF,06:07:00,09:07:00
122,106,QDJ389,H,15:25:00,17:02:00
122,413,TVN387,WMF,20:14:00,21:56:00
123,442,QDJ389,FM,15:02:00,17:02:00
123,109,TVN387,WF,19:53:00,21:34:00
123,113,FRF846,MT,10:50:00,14:44:00
124,408,ICH942,T,17:31:00,20:27:00
124,108,LTG028,HWM,08:38:00,11:08:00
125,170,VGP845,FMT,13:03:00,14:44:00
125,479,QDJ389,T,08:12:00,10:18:00
125,84,QDJ389,W,12:32:00,14:31:00
126,266,YAN039,TM,07:21:00,11:04:00
126,313,SYH090,WTM,09:26:00,12:33:00
126,145,LEZ228,HT,18:13:00,21:06:00
127,100,VGP845,MWT,14:39:00,17:46:00
128,330,LTG028,HMF,09:13:00,12:16:00
129,122,ICH942,W,16:56:00,20:47:00
129,100,VGP845,MWT,14:39:00,17:46:00
129,236,QDJ389,FTM,06:47:00,08:10:00
130,367,ICH942,TWF,10:48:00,12:08:00
131,125,SYH090,H,07:58:00,09:48:00
132,104,LTG028,WF,14:32:00,15:37:00
132,419,SYH090,F,11:43:00,15:15:00
133,235,TVN387,HFM,07:08:00,08:31:00
134,406,LEZ228,HFM,07:06:00,09:29:00
135,367,ICH942,TWF,10:48:00,12:08:00
136,397,VGP845,TH,18:00:00,21:21:00
137,95,TVN387,MFW,08:59:00,11:07:00
138,173,VGP845,HT,16:51:00,19:12:00
138,226,YAN039,W,18:56:00,21:32:00
138,153,LEZ228,FWH,12:29:00,14:18:00
139,416,YAN039,HT,08:31:00,09:51:00
139,69,VGP845,F,09:19:00,12:45:00
140,16,ICH942,T,17:20:00,18:34:00
140,285,UGS416,T,18:04:00,19:06:00
140,85,YAN039,TMH,20:33:00,21:33:00
141,120,VGP845,TH,17:07:00,19:41:00
142,202,YAN039,FMW,14:12:00,17:00:00
142,141,ICH942,TW,06:17:00,09:27:00
142,450,LTG028,MHW,09:22:00,11:23:00
143,402,LEZ228,HT,13:48:00,16:49:00
143,441,LEZ228,TMH,14:59:00,17:29:00
144,449,LEZ228,TH,07:07:00,10:32:00
144,58,SYH090,H,14:29:00,17:07:00
145,74,UGS416,MTH,19:16:00,20:22:00
145,380,SYH090,TFW,11:25:00,15:09:00
146,411,SYH090,WMT,15:49:00,17:24:00
146,222,YAN039,FHM,18:19:00,19:40:00
146,480,VGP845,FTM,06:56:00,10:18:00
147,456,SYH090,WFT,18:00:00,20:43:00
147,393,UGS416,W,11:26:00,15:24:00
148,214,VGP845,MF,18:22:00,22:06:00
148,155,FRF846,WH,09:06:00,11:17:00
148,394,UGS416,FT,14:35:00,17:08:00
149,274,YAN039,FMW,08:03:00,10:51:00
150,286,YAN039,HT,07:57:00,09:01:00
150,263,TVN387,H,08:24:00,11:17:00
150,473,SYH090,FM,15:06:00,16:29:00
151,341,LEZ228,WH,10:00:00,12:07:00
151,220,ICH942,F,08:34:00,09:36:00
151,355,UGS416,TF,08:53:00,10:54:00
152,491,YAN039,M,09:33:00,12:24:00
153,220,ICH942,F,08:34:00,09:36:00
154,383,TVN387,MWH,18:17:00,20:43:00
155,419,SYH090,F,11:43:00,15:15:00
156,471,FRF846,WHT,08:43:00,12:29:00
157,20,UGS416,HW,20:06:00,22:09:00
158,304,LEZ228,MHT,06:54:00,10:36:00
158,144,ICH942,W,11:28:00,14:04:00
158,113,FRF846,MT,10:50:00,14:44:00
159,154,FRF846,TWM,12:14:00,14:00:00
159,144,ICH942,W,11:28:00,14:04:00
160,108,LTG028,HWM,08:38:00,11:08:00
160,364,UGS416,TMF,18:00:00,19:47:00
161,444,YAN039,THW,08:39:00,12:10:00
162,156,TVN387,HW,07:05:00,09:56:00
162,68,TVN387,THW,06:31:00,10:07:00
162,280,UGS416,M,06:34:00,08:47:00
163,207,LEZ228,FM,18:10:00,20:10:00
164,356,QDJ389,TW,10:59:00,14:00:00
164,185,LTG028,H,14:06:00,15:41:00
164,319,LTG028,M,09:49:00,12:18:00
165,160,SYH090,WF,15:31:00,18:02:00
166,21,TVN387,H,12:43:00,14:26:00
167,224,QDJ389,HF,11:54:00,14:24:00
167,66,YAN039,MH,18:41:00,19:48:00
168,293,YAN039,H,08:26:00,09:31:00
168,364,UGS416,TMF,18:00:00,19:47:00
168,318,LTG028,MH,15:56:00,17:23:00
169,22,ICH942,WMH,12:45:00,15:57:00
170,437,VGP845,F,06:20:00,09:39:00
171,152,YAN039,FWH,12:18:00,15:50:00
172,95,TVN387,MFW,08:59:00,11:07:00
172,288,LTG028,MF,17:47:00,21:42:00
173,449,LEZ228,TH,07:07:00,10:32:00
174,423,LEZ228,H,06:31:00,09:36:00
174,150,LTG028,M,09:08:00,11:08:00
175,433,VGP845,WMH,16:13:00,18:06:00
175,306,VGP845,T,09:03:00,10:10:00
176,411,SYH090,WMT,15:49:00,17:24:00
176,124,LTG028,HW,16:07:00,19:43:00
177,292,LTG028,H,14:33:00,18:06:00
177,485,QDJ389,FH,20:10:00,22:37:00
178,95,TVN387,MFW,08:59:00,11:07:00
178,50,UGS416,FHT,14:11:00,17:50:00
178,16,ICH942,T,17:20:00,18:34:00
179,475,TVN387,H,08:01:00,10:45:00
179,282,LEZ228,F,12:32:00,13:51:00
180,307,YAN039,TMF,11:10:00,13:26:00
181,196,UGS416,TM,10:01:00,13:34:00
181,218,TVN387,W,14:59:00,16:42:00
182,19,FRF846,T,16:51:00,20:19:00
182,467,UGS416,W,16:56:00,18:47:00
183,41,YAN039,MF,07:16:00,09:41:00
184,46,QDJ389,MWF,16:57:00,19:19:00
184,156,TVN387,HW,07:05:00,09:56:00
184,415,LEZ228,FT,08:07:00,10:10:00
185,87,YAN039,WM,12:09:00,16:08:00
185,228,LEZ228,TF,18:46:00,22:42:00
185,220,ICH942,F,08:34:00,09:36:00
186,295,QDJ389,T,14:35:00,17:16:00
186,378,LEZ228,MHF,08:09:00,10:15:00
186,225,ICH942,MWT,13:53:00,17:38:00
187,310,TVN387,MFW,08:04:00,10:20:00
187,356,QDJ389,TW,10:59:00,14:00:00
187,68,TVN387,THW,06:31:00,10:07:00
188,117,FRF846,WT,10:05:00,11:11:00
189,367,ICH942,TWF,10:48:00,12:08:00
190,320,QDJ389,HMW,06:20:00,09:43:00
190,307,YAN039,TMF,11:10:00,13:26:00
190,187,FRF846,W,10:12:00,12:19:00
191,389,SYH090,T,15:15:00,18:03:00
192,147,UGS416,FWM,18:37:00,21:19:00
192,27,QDJ389,T,18:55:00,20:51:00
192,212,UGS416,WF,09:08:00,11:50:00
193,344,LEZ228,HF,18:50:00,21:09:00
193,422,LTG028,F,08:30:00,10:18:00
193,362,LEZ228,M,11:27:00,14:17:00
194,145,LEZ228,HT,18:13:00,21:06:00
195,324,TVN387,HMW,06:20:00,09:39:00
195,435,SYH090,TM,16:52:00,20:46:00
196,220,ICH942,F,08:34:00,09:36:00
196,438,QDJ389,TM,06:58:00,08:30:00
196,149,SYH090,WTM,08:35:00,09:40:00
197,59,LEZ228,FW,06:38:00,10:36:00
198,270,TVN387,HF,17:33:00,18:33:00
198,250,QDJ389,M,07:36:00,09:38:00
199,403,LTG028,HM,12:40:00,14:37:00
200,428,LEZ228,TFM,09:10:00,12:26:00
200,43,VGP845,M,07:41:00,08:42:00
200,204,QDJ389,WF,12:07:00,14:43:00
201,447,VGP845,FH,14:20:00,15:45:00
202,186,YAN039,F,11:37:00,14:41:00
203,178,ICH942,T,10:29:00,11:31:00
203,437,VGP845,F,06:20:00,09:39:00
204,21,TVN387,H,12:43:00,14:26:00
204,202,YAN039,FMW,14:12:00,17:00:00
204,53,LEZ228,HW,16:10:00,17:48:00
205,225,ICH942,MWT,13:53:00,17:38:00
206,329,QDJ389,TMF,16:04:00,18:26:00
207,142,UGS416,F,16:54:00,19:37:00
207,229,YAN039,WTH,15:05:00,16:38:00
207,76,LEZ228,F,08:00:00,10:39:00
208,472,LEZ228,W,17:42:00,20:30:00
209,414,QDJ389,MTF,19:33:00,22:48:00
210,363,FRF846,THW,10:43:00,14:10:00
210,491,YAN039,M,09:33:00,12:24:00
210,56,LEZ228,MWH,09:14:00,10:40:00
211,70,LEZ228,MT,10:35:00,12:59:00
211,309,VGP845,F,15:27:00,17:56:00
212,267,LEZ228,W,18:52:00,21:35:00
212,457,VGP845,F,20:06:00,21:34:00
212,455,QDJ389,W,17:14:00,19:14:00
213,402,LEZ228,HT,13:48:00,16:49:00
213,28,YAN039,WH,15:29:00,16:58:00
214,233,YAN039,TFW,14:28:00,15:45:00
214,236,QDJ389,FTM,06:47:00,08:10:00
215,448,QDJ389,MTH,12:45:00,16:40:00
216,359,LEZ228,WFH,07:09:00,08:26:00
216,396,ICH942,M,06:58:00,08:53:00
216,417,SYH090,T,21:17:00,22:22:00
217,390,UGS416,FW,10:10:00,13:44:00
217,471,FRF846,WHT,08:43:00,12:29:00
217,456,SYH090,WFT,18:00:00,20:43:00
218,166,LTG028,WFM,17:56:00,19:52:00
218,311,UGS416,HTW,16:51:00,20:05:00
219,208,SYH090,T,12:12:00,13:35:00
219,178,ICH942,T,10:29:00,11:31:00
219,97,QDJ389,MT,13:41:00,15:11:00
220,399,QDJ389,WTH,13:25:00,16:05:00
220,23,ICH942,HF,10:09:00,12:00:00
221,65,VGP845,HWM,08:04:00,09:21:00
222,259,FRF846,WH,16:47:00,20:37:00
223,467,UGS416,W,16:56:00,18:47:00
224,451,YAN039,H,07:34:00,10:38:00
224,45,LEZ228,HMF,18:54:00,22:42:00
224,88,YAN039,THF,11:30:00,12:42:00
225,336,QDJ389,WT,12:46:00,16:02:00
226,354,SYH090,FTM,11:53:00,13:09:00
227,51,LEZ228,HF,12:37:00,13:52:00
228,370,LEZ228,MT,17:25:00,19:01:00
229,176,LTG028,M,08:10:00,09:22:00
229,250,QDJ389,M,07:36:00,09:38:00
230,157,YAN039,TW,06:58:00,08:58:00
230,198,ICH942,F,07:18:00,09:33:00
231,94,YAN039,MWF,09:18:00,10:31:00
231,103,VGP845,MT,19:21:00,21:52:00
231,366,LTG028,HM,14:11:00,17:02:00
232,233,YAN039,TFW,14:28:00,15:45:00
233,393,UGS416,W,11:26:00,15:24:00
233,83,QDJ389,F,19:57:00,21:16:00
234,231,UGS416,H,16:53:00,20:29:00
234,79,ICH942,TH,07:25:00,09:09:00
234,19,FRF846,T,16:51:00,20:19:00
235,65,VGP845,HWM,08:04:00,09:21:00
235,483,VGP845,FW,17:22:00,18:53:00
235,277,YAN039,H,08:14:00,11:59:00
236,445,QDJ389,TFH,13:11:00,14:38:00
236,222,YAN039,FHM,18:19:00,19:40:00
237,352,LEZ228,TF,11:55:00,14:11:00
238,22,ICH942,WMH,12:45:00,15:57:00
238,485,QDJ389,FH,20:10:00,22:37:00
238,168,QDJ389,H,07:46:00,11:00:00
239,234,FRF846,H,16:19:00,18:29:00
239,444,YAN039,THW,08:39:00,12:10:00
240,307,YAN039,TMF,11:10:00,13:26:00
240,34,YAN039,TMF,17:03:00,18:40:00
241,246,LEZ228,WTM,13:06:00,14:55:00
241,205,FRF846,T,11:39:00,12:54:00
241,262,UGS416,WH,18:22:00,21:03:00
242,304,LEZ228,MHT,06:54:00,10:36:00
242,349,TVN387,WFH,08:37:00,12:10:00
243,304,LEZ228,MHT,06:54:00,10:36:00
243,62,QDJ389,HMF,13:50:00,15:50:00
243,226,YAN039,W,18:56:00,21:32:00
244,220,ICH942,F,08:34:00,09:36:00
244,346,UGS416,THF,14:41:00,16:27:00
244,41,YAN039,MF,07:16:00,09:41:00
245,421,VGP845,WF,07:47:00,09:17:00
245,264,LEZ228,WHT,16:30:00,19:43:00
245,167,VGP845,W,14:44:00,16:26:00
246,223,FRF846,MHT,17:05:00,18:32:00
247,441,LEZ228,TMH,14:59:00,17:29:00
247,266,YAN039,TM,07:21:00,11:04:00
248,0,TVN387,TW,18:18:00,20:40:00
248,150,LTG028,M,09:08:00,11:08:00
248,75,SYH090,F,16:00:00,18:13:00
249,138,LTG028,MH,13:39:00,15:00:00
250,60,TVN387,M,14:13:00,17:17:00
250,54,LEZ228,M,09:55:00,13:25:00
250,391,UGS416,H,19:55:00,21:07:00
251,183,SYH090,F,09:19:00,12:43:00
251,107,SYH090,WTH,06:07:00,07:17:00
252,92,LEZ228,F,10:53:00,14:30:00
253,21,TVN387,H,12:43:00,14:26:00
253,108,LTG028,HWM,08:38:00,11:08:00
253,276,YAN039,F,10:44:00,13:46:00
254,56,LEZ228,MWH,09:14:00,10:40:00
255,115,YAN039,WFT,15:27:00,17:02:00
256,470,ICH942,MWT,09:11:00,11:52:00
257,443,UGS416,HW,11:59:00,15:08:00
257,218,TVN387,W,14:59:00,16:42:00
258,3,UGS416,TMH,13:09:00,16:07:00
258,147,UGS416,FWM,18:37:00,21:19:00
259,199,VGP845,TFH,15:04:00,18:16:00
260,187,FRF846,W,10:12:00,12:19:00
261,458,LEZ228,F,17:31:00,19:37:00
261,145,LEZ228,HT,18:13:00,21:06:00
262,397,VGP845,TH,18:00:00,21:21:00
262,95,TVN387,MFW,08:59:00,11:07:00
262,121,UGS416,FWT,20:08:00,21:25:00
263,62,QDJ389,HMF,13:50:00,15:50:00
263,34,YAN039,TMF,17:03:00,18:40:00
263,8,YAN039,TF,16:58:00,19:55:00
264,316,UGS416,H,13:04:00,14:59:00
265,399,QDJ389,WTH,13:25:00,16:05:00
266,422,LTG028,F,08:30:00,10:18:00
266,36,QDJ389,TH,14:49:00,16:14:00
267,171,QDJ389,WTM,13:01:00,15:01:00
267,275,SYH090,T,10:42:00,14:19:00
267,126,UGS416,M,10:48:00,14:14:00
268,420,SYH090,W,06:10:00,07:29:00
268,77,FRF846,T,10:44:00,13:17:00
269,305,FRF846,THM,16:10:00,19:02:00
269,368,UGS416,TW,18:50:00,21:15:00
269,302,YAN039,WM,17:10:00,20:58:00
270,107,SYH090,WTH,06:07:00,07:17:00
270,394,UGS416,FT,14:35:00,17:08:00
270,341,LEZ228,WH,10:00:00,12:07:00
271,106,QDJ389,H,15:25:00,17:02:00
271,287,YAN039,WTF,16:19:00,19:57:00
271,319,LTG028,M,09:49:00,12:18:00
272,406,LEZ228,HFM,07:06:00,09:29:00
272,243,YAN039,MFT,14:32:00,16:13:00
273,91,LEZ228,TM,19:08:00,20:43:00
274,40,LEZ228,WH,13:32:00,14:56:00
274,444,YAN039,THW,08:39:00,12:10:00
274,410,QDJ389,M,10:23:00,12:49:00
275,210,UGS416,F,15:48:00,18:47:00
275,292,LTG028,H,14:33:00,18:06:00
276,484,UGS416,H,15:45:00,19:36:00
277,329,QDJ389,TMF,16:04:00,18:26:00
278,32,QDJ389,HF,18:46:00,20:05:00
279,139,LEZ228,FWH,07:53:00,09:51:00
279,257,TVN387,F,15:33:00,19:21:00
280,313,SYH090,WTM,09:26:00,12:33:00
280,453,FRF846,TW,06:56:00,10:04:00
281,76,LEZ228,F,08:00:00,10:39:00
281,444,YAN039,THW,08:39:00,12:10:00
281,255,TVN387,M,17:00:00,19:21:00
282,390,UGS416,FW,10:10:00,13:44:00
283,245,UGS416,FH,19:25:00,21:17:00
283,20,UGS416,HW,20:06:00,22:09:00
284,56,LEZ228,MWH,09:14:00,10:40:00
284,67,UGS416,TF,12:42:00,16:28:00
284,15,QDJ389,TM,14:08:00,18:04:00
285,321,LEZ228,THW,10:50:00,12:39:00
285,71,QDJ389,HM,09:57:00,11:43:00
286,167,VGP845,W,14:44:00,16:26:00
287,207,LEZ228,FM,18:10:00,20:10:00
288,148,TVN387,W,06:23:00,08:45:00
288,65,VGP845,HWM,08:04:00,09:21:00
289,392,YAN039,TH,08:43:00,11:47:00
289,164,UGS416,H,09:31:00,11:42:00
289,244,LEZ228,FHM,09:09:00,10:19:00
290,159,ICH942,M,14:09:00,17:46:00
290,452,LTG028,M,11:00:00,13:58:00
290,302,YAN039,WM,17:10:00,20:58:00
291,327,VGP845,M,06:44:00,09:59:00
291,354,SYH090,FTM,11:53:00,13:09:00
291,68,TVN387,THW,06:31:00,10:07:00
292,282,LEZ228,F,12:32:00,13:51:00
293,75,SYH090,F,16:00:00,18:13:00
294,33,QDJ389,HT,19:55:00,21:30:00
295,451,YAN039,H,07:34:00,10:38:00
